name,roll,branch,subject,section,password
Vivaan Kumar,MCA115,MCA,MCA_SEM1,B,123
Meera Agarwal,MCA116,MCA,MCA_SEM1,B,123
Krishna Kapoor,MCA117,MCA,MCA_SEM1,B,123
Diya Kumar,MCA118,MCA,MCA_SEM1,B,123
Rohan Mehta,MCA119,MCA,MCA_SEM1,B,123
Vivaan Pandey,MCA120,MCA,MCA_SEM1,B,123
Neha Bansal,BAJ001,BAJMC,BAJMC_SEM1,A,123
Diya Jain,BAJ002,BAJMC,BAJMC_SEM1,A,123
Priya Kapoor,BAJ003,BAJMC,BAJMC_SEM1,A,123
Rohan Singh,BAJ004,BAJMC,BAJMC_SEM1,A,123
Aadhya Joshi,BAJ005,BAJMC,BAJMC_SEM1,A,123
Tanvi Chopra,BAJ006,BAJMC,BAJMC_SEM1,A,123
Nikhil Sharma,BAJ007,BAJMC,BAJMC_SEM1,A,123
Sai Yadav,BAJ008,BAJMC,BAJMC_SEM1,A,123
Rashmi Joshi,BAJ009,BAJMC,BAJMC_SEM1,A,123
Neha Singh,BAJ010,BAJMC,BAJMC_SEM1,A,123
Ishaan Chauhan,BAJ011,BAJMC,BAJMC_SEM1,A,123
Aryan Gupta,BAJ012,BAJMC,BAJMC_SEM1,A,123
Pooja Mehta,BAJ013,BAJMC,BAJMC_SEM1,A,123
Ishaan Agarwal,BAJ014,BAJMC,BAJMC_SEM1,A,123
Vivaan Verma,BAJ015,BAJMC,BAJMC_SEM1,A,123
Ananya Bansal,BAJ016,BAJMC,BAJMC_SEM1,A,123
Varun Gupta,BAJ017,BAJMC,BAJMC_SEM1,A,123
Vivaan Joshi,BAJ018,BAJMC,BAJMC_SEM1,A,123
Sara Chauhan,BAJ019,BAJMC,BAJMC_SEM1,A,123
Myra Saxena,BAJ020,BAJMC,BAJMC_SEM1,A,123
Neha Sharma,BAJ021,BAJMC,BAJMC_SEM1,A,123
Sara Mittal,BAJ022,BAJMC,BAJMC_SEM1,A,123
Amit Kumar,BAJ023,BAJMC,BAJMC_SEM1,A,123
Priya Yadav,BAJ024,BAJMC,BAJMC_SEM1,A,123
Varun Mittal,BAJ025,BAJMC,BAJMC_SEM1,A,123
Krishna Bansal,BAJ026,BAJMC,BAJMC_SEM1,A,123
Vihaan Chopra,BAJ027,BAJMC,BAJMC_SEM1,A,123
Kavya Bansal,BAJ028,BAJMC,BAJMC_SEM1,A,123
Yash Kapoor,BAJ029,BAJMC,BAJMC_SEM1,A,123
Neha Kumar,BAJ030,BAJMC,BAJMC_SEM1,A,123
Diya Rathore,BAJ031,BAJMC,BAJMC_SEM1,A,123
Shaurya Mittal,BAJ032,BAJMC,BAJMC_SEM1,A,123
Aryan Jain,BAJ033,BAJMC,BAJMC_SEM1,A,123
Sai Tiwari,BAJ034,BAJMC,BAJMC_SEM1,A,123
Dev Yadav,BAJ035,BAJMC,BAJMC_SEM1,A,123
Shaurya Rathore,BAJ036,BAJMC,BAJMC_SEM1,A,123
Sneha Saxena,BAJ037,BAJMC,BAJMC_SEM1,A,123
Nikhil Bansal,BAJ038,BAJMC,BAJMC_SEM1,A,123
Nikhil Verma,BAJ039,BAJMC,BAJMC_SEM1,A,123
Simran Joshi,BAJ040,BAJMC,BAJMC_SEM1,A,123
Kavya Saxena,BAJ041,BAJMC,BAJMC_SEM1,A,123
Rashmi Mehta,BAJ042,BAJMC,BAJMC_SEM1,A,123
Priya Chauhan,BAJ043,BAJMC,BAJMC_SEM1,A,123
Dev Saxena,BAJ044,BAJMC,BAJMC_SEM1,A,123
Rohan Jain,BAJ045,BAJMC,BAJMC_SEM1,A,123
Varun Singh,BAJ046,BAJMC,BAJMC_SEM1,A,123
Ananya Mittal,BAJ047,BAJMC,BAJMC_SEM1,A,123
Kriti Tiwari,BAJ048,BAJMC,BAJMC_SEM1,A,123
Vihaan Yadav,BAJ049,BAJMC,BAJMC_SEM1,A,123
Rohan Chauhan,BAJ050,BAJMC,BAJMC_SEM1,A,123
Yash Verma,BAJ051,BAJMC,BAJMC_SEM1,A,123
Rohan Verma,BAJ052,BAJMC,BAJMC_SEM1,A,123
Pooja Tiwari,BAJ053,BAJMC,BAJMC_SEM1,A,123
Naina Chopra,BAJ054,BAJMC,BAJMC_SEM1,A,123
Myra Gupta,BAJ055,BAJMC,BAJMC_SEM1,A,123
Siddharth Agarwal,BAJ056,BAJMC,BAJMC_SEM1,A,123
Ira Pandey,BAJ057,BAJMC,BAJMC_SEM1,A,123
Shaurya Yadav,BAJ058,BAJMC,BAJMC_SEM1,A,123
Varun Kumar,BAJ059,BAJMC,BAJMC_SEM1,A,123
Kunal Singh,BAJ060,BAJMC,BAJMC_SEM1,A,123
Amit Malhotra,BAJ061,BAJMC,BAJMC_SEM1,B,123
Vivaan Mittal,BAJ062,BAJMC,BAJMC_SEM1,B,123
Rashmi Chauhan,BAJ063,BAJMC,BAJMC_SEM1,B,123
Reyansh Saxena,BAJ064,BAJMC,BAJMC_SEM1,B,123
Shaurya Agarwal,BAJ065,BAJMC,BAJMC_SEM1,B,123
Kriti Rathore,BAJ066,BAJMC,BAJMC_SEM1,B,123
Priya Mittal,BAJ067,BAJMC,BAJMC_SEM1,B,123
Aditya Malhotra,BAJ068,BAJMC,BAJMC_SEM1,B,123
Siddharth Verma,BAJ069,BAJMC,BAJMC_SEM1,B,123
Tanvi Rathore,BAJ070,BAJMC,BAJMC_SEM1,B,123
Reyansh Joshi,BAJ071,BAJMC,BAJMC_SEM1,B,123
Ishita Pandey,BAJ072,BAJMC,BAJMC_SEM1,B,123
Amit Singh,BAJ073,BAJMC,BAJMC_SEM1,B,123
Sara Rathore,BAJ074,BAJMC,BAJMC_SEM1,B,123
Sneha Verma,BAJ075,BAJMC,BAJMC_SEM1,B,123
Pooja Gupta,BAJ076,BAJMC,BAJMC_SEM1,B,123
Rohan Chopra,BAJ077,BAJMC,BAJMC_SEM1,B,123
Naina Gupta,BAJ078,BAJMC,BAJMC_SEM1,B,123
Myra Mehta,BAJ079,BAJMC,BAJMC_SEM1,B,123
Ishita Saxena,BAJ080,BAJMC,BAJMC_SEM1,B,123
Reyansh Mittal,BAJ081,BAJMC,BAJMC_SEM1,B,123
Aadhya Kapoor,BAJ082,BAJMC,BAJMC_SEM1,B,123
Siddharth Yadav,BAJ083,BAJMC,BAJMC_SEM1,B,123
Ira Verma,BAJ084,BAJMC,BAJMC_SEM1,B,123
Amit Bansal,BAJ085,BAJMC,BAJMC_SEM1,B,123
Ishaan Singh,BAJ086,BAJMC,BAJMC_SEM1,B,123
Siddharth Tiwari,BAJ087,BAJMC,BAJMC_SEM1,B,123
Dev Chopra,BAJ088,BAJMC,BAJMC_SEM1,B,123
Vivaan Gupta,BAJ089,BAJMC,BAJMC_SEM1,B,123
Myra Mittal,BAJ090,BAJMC,BAJMC_SEM1,B,123
Shaurya Jain,BAJ091,BAJMC,BAJMC_SEM1,B,123
Aditya Sharma,BAJ092,BAJMC,BAJMC_SEM1,B,123
Aarav Kumar,BAJ093,BAJMC,BAJMC_SEM1,B,123
Arjun Jain,BAJ094,BAJMC,BAJMC_SEM1,B,123
Naina Pandey,BAJ095,BAJMC,BAJMC_SEM1,B,123
Ishaan Mehta,BAJ096,BAJMC,BAJMC_SEM1,B,123
Amit Mittal,BAJ097,BAJMC,BAJMC_SEM1,B,123
Varun Rathore,BAJ098,BAJMC,BAJMC_SEM1,B,123
Kunal Pandey,BAJ099,BAJMC,BAJMC_SEM1,B,123
Meera Pandey,BAJ100,BAJMC,BAJMC_SEM1,B,123
Neha Verma,BAJ101,BAJMC,BAJMC_SEM1,B,123
Varun Chopra,BAJ102,BAJMC,BAJMC_SEM1,B,123
Shaurya Mehta,BAJ103,BAJMC,BAJMC_SEM1,B,123
Krishna Mehta,BAJ104,BAJMC,BAJMC_SEM1,B,123
Sai Kapoor,BAJ105,BAJMC,BAJMC_SEM1,B,123
Myra Pandey,BAJ106,BAJMC,BAJMC_SEM1,B,123
Anika Joshi,BAJ107,BAJMC,BAJMC_SEM1,B,123
Pooja Yadav,BAJ108,BAJMC,BAJMC_SEM1,B,123
Siddharth Chopra,BAJ109,BAJMC,BAJMC_SEM1,B,123
Meera Sharma,BAJ110,BAJMC,BAJMC_SEM1,B,123
Sneha Singh,BAJ111,BAJMC,BAJMC_SEM1,B,123
Tanvi Bansal,BAJ112,BAJMC,BAJMC_SEM1,B,123
Rohan Mittal,BAJ113,BAJMC,BAJMC_SEM1,B,123
Amit Verma,BAJ114,BAJMC,BAJMC_SEM1,B,123
Tanvi Mehta,BAJ115,BAJMC,BAJMC_SEM1,B,123
Naina Rathore,BAJ116,BAJMC,BAJMC_SEM1,B,123
Sai Verma,BAJ117,BAJMC,BAJMC_SEM1,B,123
Amit Gupta,BAJ118,BAJMC,BAJMC_SEM1,B,123
Aadhya Gupta,BAJ119,BAJMC,BAJMC_SEM1,B,123
Ananya Joshi,BAJ120,BAJMC,BAJMC_SEM1,B,123
Aarav Mittal,CSE001,BTECH-CSE,CSE_SEM1,A,123
Krishna Saxena,CSE002,BTECH-CSE,CSE_SEM1,A,123
Rahul Kumar,CSE003,BTECH-CSE,CSE_SEM1,A,123
Vivaan Mehta,CSE004,BTECH-CSE,CSE_SEM1,A,123
Shaurya Joshi,CSE005,BTECH-CSE,CSE_SEM1,A,123
Rashmi Mittal,CSE006,BTECH-CSE,CSE_SEM1,A,123
Krishna Verma,CSE007,BTECH-CSE,CSE_SEM1,A,123
Kunal Malhotra,CSE008,BTECH-CSE,CSE_SEM1,A,123
Riya Joshi,CSE009,BTECH-CSE,CSE_SEM1,A,123
Sneha Mittal,CSE010,BTECH-CSE,CSE_SEM1,A,123
Ishita Chopra,CSE011,BTECH-CSE,CSE_SEM1,A,123
Aryan Chopra,CSE012,BTECH-CSE,CSE_SEM1,A,123
Ishaan Jain,CSE013,BTECH-CSE,CSE_SEM1,A,123
Varun Verma,CSE014,BTECH-CSE,CSE_SEM1,A,123
Priya Gupta,CSE015,BTECH-CSE,CSE_SEM1,A,123
Sara Yadav,CSE016,BTECH-CSE,CSE_SEM1,A,123
Priya Chopra,CSE017,BTECH-CSE,CSE_SEM1,A,123
Varun Jain,CSE018,BTECH-CSE,CSE_SEM1,A,123
Ishaan Yadav,CSE019,BTECH-CSE,CSE_SEM1,A,123
Naina Tiwari,CSE020,BTECH-CSE,CSE_SEM1,A,123
Vivaan Bansal,CSE021,BTECH-CSE,CSE_SEM1,A,123
Pooja Kumar,CSE022,BTECH-CSE,CSE_SEM1,A,123
Ishaan Chopra,CSE023,BTECH-CSE,CSE_SEM1,A,123
Varun Pandey,CSE024,BTECH-CSE,CSE_SEM1,A,123
Anika Malhotra,CSE025,BTECH-CSE,CSE_SEM1,A,123
Rahul Yadav,CSE026,BTECH-CSE,CSE_SEM1,A,123
Siddharth Saxena,CSE027,BTECH-CSE,CSE_SEM1,A,123
Arjun Malhotra,CSE028,BTECH-CSE,CSE_SEM1,A,123
Aadhya Chauhan,CSE029,BTECH-CSE,CSE_SEM1,A,123
Ishita Yadav,CSE030,BTECH-CSE,CSE_SEM1,A,123
Rashmi Bansal,CSE031,BTECH-CSE,CSE_SEM1,A,123
Varun Mehta,CSE032,BTECH-CSE,CSE_SEM1,A,123
Sara Verma,CSE033,BTECH-CSE,CSE_SEM1,A,123
Kriti Kapoor,CSE034,BTECH-CSE,CSE_SEM1,A,123
Kriti Kumar,CSE035,BTECH-CSE,CSE_SEM1,A,123
Sara Singh,CSE036,BTECH-CSE,CSE_SEM1,A,123
Ananya Chopra,CSE037,BTECH-CSE,CSE_SEM1,A,123
Priya Bansal,CSE038,BTECH-CSE,CSE_SEM1,A,123
Shaurya Singh,CSE039,BTECH-CSE,CSE_SEM1,A,123
Priya Agarwal,CSE040,BTECH-CSE,CSE_SEM1,A,123
Arjun Mittal,CSE041,BTECH-CSE,CSE_SEM1,A,123
Aadhya Saxena,CSE042,BTECH-CSE,CSE_SEM1,A,123
Neha Rathore,CSE043,BTECH-CSE,CSE_SEM1,A,123
Arjun Gupta,CSE044,BTECH-CSE,CSE_SEM1,A,123
Neha Joshi,CSE045,BTECH-CSE,CSE_SEM1,A,123
Riya Tiwari,CSE046,BTECH-CSE,CSE_SEM1,A,123
Priya Tiwari,CSE047,BTECH-CSE,CSE_SEM1,A,123
Kavya Chopra,CSE048,BTECH-CSE,CSE_SEM1,A,123
Rashmi Pandey,CSE049,BTECH-CSE,CSE_SEM1,A,123
Kunal Tiwari,CSE050,BTECH-CSE,CSE_SEM1,A,123
Myra Chauhan,CSE051,BTECH-CSE,CSE_SEM1,A,123
Rohan Bansal,CSE052,BTECH-CSE,CSE_SEM1,A,123
Ishaan Kapoor,CSE053,BTECH-CSE,CSE_SEM1,A,123
Aarav Chauhan,CSE054,BTECH-CSE,CSE_SEM1,A,123
Dev Mehta,CSE055,BTECH-CSE,CSE_SEM1,A,123
Myra Chopra,CSE056,BTECH-CSE,CSE_SEM1,A,123
Pooja Saxena,CSE057,BTECH-CSE,CSE_SEM1,A,123
Rohan Rathore,CSE058,BTECH-CSE,CSE_SEM1,A,123
Dev Kapoor,CSE059,BTECH-CSE,CSE_SEM1,A,123
Kriti Jain,CSE060,BTECH-CSE,CSE_SEM1,A,123
Kriti Pandey,CSE061,BTECH-CSE,CSE_SEM1,B,123
Arjun Verma,CSE062,BTECH-CSE,CSE_SEM1,B,123
Kriti Sharma,CSE063,BTECH-CSE,CSE_SEM1,B,123
Tanvi Jain,CSE064,BTECH-CSE,CSE_SEM1,B,123
Simran Gupta,CSE065,BTECH-CSE,CSE_SEM1,B,123
Reyansh Gupta,CSE066,BTECH-CSE,CSE_SEM1,B,123
Rohan Kumar,CSE067,BTECH-CSE,CSE_SEM1,B,123
Anika Yadav,CSE068,BTECH-CSE,CSE_SEM1,B,123
Ishita Tiwari,CSE069,BTECH-CSE,CSE_SEM1,B,123
Nikhil Mehta,CSE070,BTECH-CSE,CSE_SEM1,B,123
Aarav Chopra,CSE071,BTECH-CSE,CSE_SEM1,B,123
Nikhil Jain,CSE072,BTECH-CSE,CSE_SEM1,B,123
Aryan Singh,CSE073,BTECH-CSE,CSE_SEM1,B,123
Aryan Verma,CSE074,BTECH-CSE,CSE_SEM1,B,123
Arjun Sharma,CSE075,BTECH-CSE,CSE_SEM1,B,123
Sneha Bansal,CSE076,BTECH-CSE,CSE_SEM1,B,123
Meera Yadav,CSE077,BTECH-CSE,CSE_SEM1,B,123
Rashmi Agarwal,CSE078,BTECH-CSE,CSE_SEM1,B,123
Naina Kumar,CSE079,BTECH-CSE,CSE_SEM1,B,123
Varun Joshi,CSE080,BTECH-CSE,CSE_SEM1,B,123
Krishna Chauhan,CSE081,BTECH-CSE,CSE_SEM1,B,123
Myra Sharma,CSE082,BTECH-CSE,CSE_SEM1,B,123
Aryan Malhotra,CSE083,BTECH-CSE,CSE_SEM1,B,123
Ananya Sharma,CSE084,BTECH-CSE,CSE_SEM1,B,123
Tanvi Mittal,CSE085,BTECH-CSE,CSE_SEM1,B,123
Diya Yadav,CSE086,BTECH-CSE,CSE_SEM1,B,123
Vivaan Yadav,CSE087,BTECH-CSE,CSE_SEM1,B,123
Diya Chauhan,CSE088,BTECH-CSE,CSE_SEM1,B,123
Priya Verma,CSE089,BTECH-CSE,CSE_SEM1,B,123
Tanvi Sharma,CSE090,BTECH-CSE,CSE_SEM1,B,123
Pooja Chopra,CSE091,BTECH-CSE,CSE_SEM1,B,123
Simran Mittal,CSE092,BTECH-CSE,CSE_SEM1,B,123
Vihaan Singh,CSE093,BTECH-CSE,CSE_SEM1,B,123
Aryan Bansal,CSE094,BTECH-CSE,CSE_SEM1,B,123
Riya Verma,CSE095,BTECH-CSE,CSE_SEM1,B,123
Naina Mittal,CSE096,BTECH-CSE,CSE_SEM1,B,123
Kriti Yadav,CSE097,BTECH-CSE,CSE_SEM1,B,123
Neha Kapoor,CSE098,BTECH-CSE,CSE_SEM1,B,123
Siddharth Singh,CSE099,BTECH-CSE,CSE_SEM1,B,123
Meera Joshi,CSE100,BTECH-CSE,CSE_SEM1,B,123
Riya Chauhan,CSE101,BTECH-CSE,CSE_SEM1,B,123
Rohan Kapoor,CSE102,BTECH-CSE,CSE_SEM1,B,123
Anika Kumar,CSE103,BTECH-CSE,CSE_SEM1,B,123
Riya Kumar,CSE104,BTECH-CSE,CSE_SEM1,B,123
Varun Saxena,CSE105,BTECH-CSE,CSE_SEM1,B,123
Ishita Malhotra,CSE106,BTECH-CSE,CSE_SEM1,B,123
Shaurya Saxena,CSE107,BTECH-CSE,CSE_SEM1,B,123
Kriti Mittal,CSE108,BTECH-CSE,CSE_SEM1,B,123
Yash Tiwari,CSE109,BTECH-CSE,CSE_SEM1,B,123
Naina Kapoor,CSE110,BTECH-CSE,CSE_SEM1,B,123
Priya Joshi,CSE111,BTECH-CSE,CSE_SEM1,B,123
Priya Singh,CSE112,BTECH-CSE,CSE_SEM1,B,123
Naina Malhotra,CSE113,BTECH-CSE,CSE_SEM1,B,123
Aditya Chauhan,CSE114,BTECH-CSE,CSE_SEM1,B,123
Varun Yadav,CSE115,BTECH-CSE,CSE_SEM1,B,123
Yash Rathore,CSE116,BTECH-CSE,CSE_SEM1,B,123
Rashmi Kapoor,CSE117,BTECH-CSE,CSE_SEM1,B,123
Arjun Chauhan,CSE118,BTECH-CSE,CSE_SEM1,B,123
Kavya Yadav,CSE119,BTECH-CSE,CSE_SEM1,B,123
Dev Mittal,CSE120,BTECH-CSE,CSE_SEM1,B,123
Ira Gupta,IT001,BTECH-IT,IT_SEM1,A,123
Dev Sharma,IT002,BTECH-IT,IT_SEM1,A,123
Kunal Chauhan,IT003,BTECH-IT,IT_SEM1,A,123
Aryan Kapoor,IT004,BTECH-IT,IT_SEM1,A,123
Aadhya Sharma,IT005,BTECH-IT,IT_SEM1,A,123
Rohan Gupta,IT006,BTECH-IT,IT_SEM1,A,123
Dev Joshi,IT007,BTECH-IT,IT_SEM1,A,123
Kunal Joshi,IT008,BTECH-IT,IT_SEM1,A,123
Amit Pandey,IT009,BTECH-IT,IT_SEM1,A,123
Naina Agarwal,IT010,BTECH-IT,IT_SEM1,A,123
Rahul Verma,IT011,BTECH-IT,IT_SEM1,A,123
Reyansh Yadav,IT012,BTECH-IT,IT_SEM1,A,123
Vihaan Agarwal,IT013,BTECH-IT,IT_SEM1,A,123
Pooja Joshi,IT014,BTECH-IT,IT_SEM1,A,123
Neha Saxena,IT015,BTECH-IT,IT_SEM1,A,123
Aditya Agarwal,IT016,BTECH-IT,IT_SEM1,A,123
Vihaan Sharma,IT017,BTECH-IT,IT_SEM1,A,123
Krishna Jain,IT018,BTECH-IT,IT_SEM1,A,123
Kriti Chauhan,IT019,BTECH-IT,IT_SEM1,A,123
Sneha Yadav,IT020,BTECH-IT,IT_SEM1,A,123
Riya Sharma,IT021,BTECH-IT,IT_SEM1,A,123
Tanvi Singh,IT022,BTECH-IT,IT_SEM1,A,123
Kunal Rathore,IT023,BTECH-IT,IT_SEM1,A,123
Amit Rathore,IT024,BTECH-IT,IT_SEM1,A,123
Arjun Agarwal,IT025,BTECH-IT,IT_SEM1,A,123
Kavya Kapoor,IT026,BTECH-IT,IT_SEM1,A,123
Arjun Singh,IT027,BTECH-IT,IT_SEM1,A,123
Amit Jain,IT028,BTECH-IT,IT_SEM1,A,123
Rashmi Malhotra,IT029,BTECH-IT,IT_SEM1,A,123
Neha Mittal,IT030,BTECH-IT,IT_SEM1,A,123
Kavya Mehta,IT031,BTECH-IT,IT_SEM1,A,123
Siddharth Jain,IT032,BTECH-IT,IT_SEM1,A,123
Sara Kapoor,IT033,BTECH-IT,IT_SEM1,A,123
Myra Kapoor,IT034,BTECH-IT,IT_SEM1,A,123
Meera Jain,IT035,BTECH-IT,IT_SEM1,A,123
Diya Bansal,IT036,BTECH-IT,IT_SEM1,A,123
Vihaan Kumar,IT037,BTECH-IT,IT_SEM1,A,123
Kriti Joshi,IT038,BTECH-IT,IT_SEM1,A,123
Arjun Chopra,IT039,BTECH-IT,IT_SEM1,A,123
Aryan Yadav,IT040,BTECH-IT,IT_SEM1,A,123
Myra Malhotra,IT041,BTECH-IT,IT_SEM1,A,123
Sara Kumar,IT042,BTECH-IT,IT_SEM1,A,123
Nikhil Malhotra,IT043,BTECH-IT,IT_SEM1,A,123
Kavya Chauhan,IT044,BTECH-IT,IT_SEM1,A,123
Meera Bansal,IT045,BTECH-IT,IT_SEM1,A,123
Kavya Rathore,IT046,BTECH-IT,IT_SEM1,A,123
Ira Saxena,IT047,BTECH-IT,IT_SEM1,A,123
Myra Agarwal,IT048,BTECH-IT,IT_SEM1,A,123
Siddharth Sharma,IT049,BTECH-IT,IT_SEM1,A,123
Aditya Kumar,IT050,BTECH-IT,IT_SEM1,A,123
